node_id,lat,lon,hospital_name,hospital_capacity,hospital_specialties,hospital_emergency
295887801,42.6123131,-5.5896147,,0,,False
295887806,42.6141082,-5.5899145,,0,,False
297703455,42.5874104,-5.5689567,,0,,False
297703459,42.5883009,-5.5689961,,0,,False
299834953,42.6085761,-5.5848782,,0,,False
299834956,42.6103794,-5.5824525,,0,,False
299834957,42.6097411,-5.5823053,,0,,False
299834959,42.6096103,-5.5765118,,0,,False
299834960,42.6100527,-5.5739348,,0,,False
299834961,42.6083409,-5.5733516,,0,,False
299834962,42.6088406,-5.5735142,,0,,False
299834963,42.6086218,-5.572346,,0,,False
299835345,42.6058194,-5.5806109,,0,,False
299835348,42.6054991,-5.5818467,,0,,False
299835351,42.6012953,-5.5746225,,0,,False
300608747,42.6058683,-5.5825292,,0,,False
300608770,42.5943043,-5.57562,,0,,False
300608772,42.5948258,-5.5770101,,0,,False
300608776,42.5953794,-5.5748853,,0,,False
312254915,42.5980634,-5.5702896,,0,,False
312254917,42.5949054,-5.5735129,,0,,False
312254920,42.5957629,-5.5729901,,0,,False
312254936,42.5959114,-5.5717841,,0,,False
312254938,42.5987581,-5.5737864,,0,,False
312254942,42.5986677,-5.5742439,,0,,False
312254948,42.5986246,-5.5743944,,0,,False
312254951,42.5973847,-5.5738067,,0,,False
313290924,42.5876778,-5.5720843,,0,,False
313290928,42.5874682,-5.5720179,,0,,False
330867526,42.5851998,-5.5765096,,0,,False
330867548,42.5801052,-5.5736644,,0,,False
332312966,42.612089,-5.5854767,,0,,False
379490723,42.5879675,-5.5721482,,0,,False
379490782,42.5879739,-5.5720044,,0,,False
379491115,42.6149239,-5.5688156,,0,,False
379491116,42.6143645,-5.5690966,,0,,False
379491338,42.6145556,-5.5687936,,0,,False
379491340,42.614653,-5.5687367,,0,,False
379491344,42.6147353,-5.5689053,,0,,False
379491346,42.6146525,-5.5690014,,0,,False
379491446,42.6090841,-5.5721738,,0,,False
379491450,42.6093834,-5.5736891,,0,,False
379506531,42.6112134,-5.5927601,,0,,False
379506535,42.6111029,-5.5928557,,0,,False
379506542,42.611015,-5.5928333,,0,,False
379507577,42.6152149,-5.596454,,0,,False
379507582,42.6164605,-5.5976058,,0,,False
379508078,42.614793,-5.598351,,0,,False
379508101,42.6148635,-5.5986078,,0,,False
379508369,42.6146247,-5.5984307,,0,,False
380768111,42.611334,-5.5944298,,0,,False
380768114,42.6112336,-5.5946129,,0,,False
380768123,42.6112506,-5.5945194,,0,,False
380768134,42.6114599,-5.5947955,,0,,False
380768137,42.6112916,-5.5947831,,0,,False
380768229,42.6173909,-5.6002245,,0,,False
380768254,42.6175207,-5.600062,,0,,False
380768264,42.6097392,-5.5932554,,0,,False
381205217,42.5809651,-5.5528831,,0,,False
381205220,42.5808933,-5.5522536,,0,,False
381205226,42.5814282,-5.5548746,,0,,False
381205242,42.5818399,-5.5542934,,0,,False
381205262,42.5840692,-5.5515787,,0,,False
381205266,42.5843249,-5.55136,,0,,False
