edge_id,origin_id,destination_id,key,street_name,highway_type,length_m,lanes,maxspeed_kmh,oneway,base_time_min,base_risk,surface_quality,has_coverage,origin_lat,origin_lon,destination_lat,destination_lon
1235,593276519,593320084,0,Calle Pendón de Baeza,secondary,78.91,1,30,False,0.1578,0.4,0.85,True,42.5925974,-5.561451,42.5931518,-5.5608494
1236,593276524,593276519,0,Avenida de los Bordadores,residential,65.75,1,30,True,0.1315,0.6,0.85,True,42.5922274,-5.5608246,42.5925974,-5.561451
1237,593276524,593320089,0,Calle Moisés de León,residential,76.42,1,30,False,0.1528,0.6,0.85,True,42.5922274,-5.5608246,42.5927657,-5.5602442
1238,593276524,593320078,0,Calle Moisés de León,residential,118.74,1,30,False,0.2375,0.6,0.85,True,42.5922274,-5.5608246,42.591391,-5.5617259
1239,593276530,593276536,0,Calle de San Pablo,residential,63.46,1,30,True,0.1269,0.6,0.85,True,42.5973485,-5.5649534,42.5967933,-5.565133
1240,593276530,593299722,0,Calle Víctor de los Ríos,residential,53.51,1,30,False,0.107,0.6,0.85,True,42.5973485,-5.5649534,42.597236,-5.5643178
1241,593276536,593276581,0,Calle de Daoíz y Velarde,residential,112.69,1,30,True,0.2254,0.6,0.85,True,42.5967933,-5.565133,42.5964236,-5.5638739
1242,593276536,295174007,0,Calle Cabeza de Vaca | Calle Santo Tirso,residential,59.63,1,30,True,0.1192,0.6,0.85,True,42.5967933,-5.565133,42.5963102,-5.5653845
1243,593276536,593264722,0,Calle de Daoíz y Velarde,residential,44.78,1,30,False,0.0896,0.6,0.85,True,42.5967933,-5.565133,42.5968809,-5.565667
1244,593276543,593299671,0,Calle Juan XXIII,tertiary,47.15,1,30,True,0.0943,0.5,0.85,True,42.5943492,-5.5642734,42.5947667,-5.5641724
1245,593276543,600364716,0,Avenida de los Bordadores,residential,37.0,1,30,True,0.074,0.6,0.85,True,42.5943492,-5.5642734,42.5943549,-5.5647252
1246,593276581,593299684,0,Calle de Daoíz y Velarde,residential,45.11,1,30,True,0.0902,0.6,0.85,True,42.5964236,-5.5638739,42.5961864,-5.5634275
